Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Peru,PER,High-technology exports (current US$),TX.VAL.TECH.CD,355039046,355131400,206108972,302441321,186687352,211714389,210905058,179192646,172740806,222582995,263430270,264161339
Philippines,PHL,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,33502538621,33903662791,35825986531,34896354090,38194465821,41726956647,37090950135
Poland,POL,High-technology exports (current US$),TX.VAL.TECH.CD,10728842468,13662050275,16757316984,16502308101,16888118842,18837376641,21763148628,19830978892,19970865152,23837274338,28739310787,29592130553
Portugal,PRT,High-technology exports (current US$),TX.VAL.TECH.CD,1919376035,2135835442,2314872279,2095894950,2457361282,2816256592,2978019017,3594840031,3366105196,3561400342,4255453752,4196056729
Puerto Rico,PRI,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,High-technology exports (current US$),TX.VAL.TECH.CD,63779825,50968303,33371,96835993,62631,292250,155450581,122141,466395732,147790556,270331668,245655998
Romania,ROU,High-technology exports (current US$),TX.VAL.TECH.CD,3649892920,3679011313,4471798730,4436062615,5254489145,5558598945,6636993376,6994471752,6984619201,8026993060,8531975344,9724366747
Russian Federation,RUS,High-technology exports (current US$),TX.VAL.TECH.CD,7731024109,9223725735,10431810993,11478187273,11237691896,10385740894,10107859553,10783402806,6567475904,10598637533,..,..
Rwanda,RWA,High-technology exports (current US$),TX.VAL.TECH.CD,1097405,2392667,6763641,8666022,5547310,3552188,3510626,6910595,5221136,9522923,6797226,..
Samoa,WSM,High-technology exports (current US$),TX.VAL.TECH.CD,114963,210850,429830,148078,171154,74642,142119,105678,..,53764,36152,396638
San Marino,SMR,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,High-technology exports (current US$),TX.VAL.TECH.CD,101787,117701,4081,222420,739677,386566,1332857,191951,139614,78068,15026,70979
Saudi Arabia,SAU,High-technology exports (current US$),TX.VAL.TECH.CD,258048046,289615029,254738828,278134035,421285338,261725661,252696058,270579690,217407449,158436056,..,3641055220
Senegal,SEN,High-technology exports (current US$),TX.VAL.TECH.CD,8594912,11616694,14570001,28135985,23026460,18853043,28155690,9427038,7556051,26333300,37258335,22544982
