Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Maldives,MDV,Scientific and technical journal articles,IP.JRN.ARTC.SC,8.08,7.04,5.87,7.08,6.8,7.06,7.15,10.97,24.84,25.26,35.87,..
Mali,MLI,Scientific and technical journal articles,IP.JRN.ARTC.SC,84.82,61.61,70.27,66.05,77.24,98.94,87.24,91.85,99.3,112.89,118.09,..
Malta,MLT,Scientific and technical journal articles,IP.JRN.ARTC.SC,248.87,292.87,289.77,330.89,359.9,422.04,445.9,426.22,506.7,528.43,593.57,..
Marshall Islands,MHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.49,1.33,1.19,3.59,1.39,0.72,2.51,3.02,1.86,2.97,2.24,..
Mauritania,MRT,Scientific and technical journal articles,IP.JRN.ARTC.SC,12.99,15.17,12.19,14.3,15.13,11.4,16.72,20.63,22.25,36.65,26.47,..
Mauritius,MUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,115.62,121.12,122.34,120.65,155.07,167.13,133.59,236.54,193.23,193.76,238.86,..
Mexico,MEX,Scientific and technical journal articles,IP.JRN.ARTC.SC,12602.76,13186.8,14167.62,14570.29,15194.65,16177.94,17182.13,18991.67,20363.28,21753.88,21027.1,..
"Micronesia, Fed. Sts.",FSM,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.63,4.85,3.33,6.75,3.81,6.58,4.37,2.32,7.57,2.24,3.39,..
Moldova,MDA,Scientific and technical journal articles,IP.JRN.ARTC.SC,203.1,212.96,206.09,190.6,292.07,239.49,211.47,274.4,298.55,287.95,283.96,..
Monaco,MCO,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.41,37.72,39.62,43,42.91,50.85,46.8,47.7,50.06,57.44,57.07,..
Mongolia,MNG,Scientific and technical journal articles,IP.JRN.ARTC.SC,127.91,162.96,115.38,101.76,117.4,150.84,152.35,193.54,214.2,283.96,262.05,..
Montenegro,MNE,Scientific and technical journal articles,IP.JRN.ARTC.SC,159.13,190.08,199.17,224.21,241.08,284.32,256.39,281.21,317.08,313.93,294.93,..
Morocco,MAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,2118.55,2160.84,2484.83,2485.77,3652.98,4017.29,4792.31,5511.7,6360.45,7388.64,8445.14,..
Mozambique,MOZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,63.44,69.92,87.45,105.17,109.95,133,150.7,155.23,176.28,219.67,194.32,..
Myanmar,MMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,38.6,34.32,45.94,73.41,86.18,149.82,233.92,289.25,429.75,273.83,163.39,..
Namibia,NAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,64.47,85.49,91.97,100.28,100.59,114.24,160.59,157.84,203.62,230.62,219.77,..
Nauru,NRU,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.5,0.34,0.37,0.33,0.47,0,0,0.33,0.9,0,0.27,..
Nepal,NPL,Scientific and technical journal articles,IP.JRN.ARTC.SC,395.9,458.01,507.32,539.03,627.01,693.49,840.67,1054.19,1513.19,1797.2,1699.22,..
Netherlands,NLD,Scientific and technical journal articles,IP.JRN.ARTC.SC,31031.95,31621.17,31939.52,31744.65,31496.18,31643.49,32093.15,32282.4,33060.81,34933.42,34311.17,..
New Caledonia,NCL,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,Scientific and technical journal articles,IP.JRN.ARTC.SC,7759.43,7808.07,7997.3,7892.26,8203.8,8178.13,8396.44,8890.78,8813.47,9152.02,9213.62,..
Nicaragua,NIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,31.53,28.96,33.56,27.42,37.77,42.41,43.03,35.85,39.21,45.56,41.45,..
Niger,NER,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.76,31.32,48.31,52.98,51.13,57.14,65.89,63.64,67.78,56.76,73.56,..
Nigeria,NGA,Scientific and technical journal articles,IP.JRN.ARTC.SC,3114.14,3137.77,3554.04,3561.88,3958.74,4502.59,5528.59,6894.13,8170.31,9422.75,9408.02,..
North Macedonia,MKD,Scientific and technical journal articles,IP.JRN.ARTC.SC,477.66,467.06,493.09,480.78,441.03,467.11,448.02,467.73,444.11,440.8,532.17,..
Northern Mariana Islands,MNP,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,10328.16,10371.73,10660.66,10715.99,11388.28,11973.4,12413.22,12827.31,13480.21,14194.52,14068.95,..
Oman,OMN,Scientific and technical journal articles,IP.JRN.ARTC.SC,603.03,670.52,691.48,762.02,771.58,787.97,846.25,982.36,1074.58,1399.09,1588.15,..
Pakistan,PAK,Scientific and technical journal articles,IP.JRN.ARTC.SC,6483.15,7175.1,7322.71,8116.95,9294.65,11152.3,12370.03,15378.21,16977.89,20753.75,22642.68,..
Palau,PLW,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.25,4.2,4.71,5.61,3.3,5.96,6.51,6.1,6.52,5.61,6.45,..
Panama,PAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,155.83,155.37,166.51,164.37,154.78,175.99,175.81,261.7,264.98,290.26,376.12,..
Papua New Guinea,PNG,Scientific and technical journal articles,IP.JRN.ARTC.SC,61.17,53.22,62.9,58.96,59.81,62,61.16,71.07,60.17,83.64,83.33,..
Paraguay,PRY,Scientific and technical journal articles,IP.JRN.ARTC.SC,55.91,60.16,63.16,94.74,102.38,140.84,104.89,167.73,173.48,190.01,208.68,..
Peru,PER,Scientific and technical journal articles,IP.JRN.ARTC.SC,641.35,667.12,745.61,899.29,1071.41,1389.87,1700.86,2332.04,2892.98,4064.96,4584.96,..
Philippines,PHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,820.31,935.46,1038.82,1365.11,1654.64,1992.04,2121.3,3379.76,3262.82,4052.93,3961.49,..
Poland,POL,Scientific and technical journal articles,IP.JRN.ARTC.SC,27711.05,29634.94,31104.41,32723.75,34267.43,33886.6,35457.24,36493.83,38445.19,41280.7,37368.15,..
Portugal,PRT,Scientific and technical journal articles,IP.JRN.ARTC.SC,13001.8,13889.26,14438.03,14810.29,14398.94,14405.2,14906.3,16534.56,17269.64,19600.42,19622.76,..
Puerto Rico,PRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,629.06,581.84,607.11,587.27,608.88,578.41,563.96,573.61,587.91,569.71,569.66,..
Qatar,QAT,Scientific and technical journal articles,IP.JRN.ARTC.SC,610.64,798.6,1120.5,1192.34,1437.58,1424.46,1555.68,1838.24,2333.06,2655.23,2649.64,..
Romania,ROU,Scientific and technical journal articles,IP.JRN.ARTC.SC,9844.05,9740.94,9746.12,10357.99,9456.26,9734.81,9295.6,10705.93,10334.95,12021.69,11669.69,..
Russian Federation,RUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,36531.93,38952.94,44778.75,51956.58,61137.3,68641.1,77629.6,90819.89,94909.93,100841.94,84251.73,..
Rwanda,RWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,53.75,88.22,96.5,102.51,130.22,127.74,173.12,197.72,264.98,328.92,352.94,..
Samoa,WSM,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.51,4.42,10.24,10.17,7.37,9.42,11.8,8.56,21.41,23.76,16.2,..
San Marino,SMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.66,7.03,4.9,7.25,8.56,14.31,12.12,11.96,10.15,16.1,19.12,..
Sao Tome and Principe,STP,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.52,0.16,1.24,1.42,1.12,0.88,0.86,2.37,2.78,2.96,3.8,..
Saudi Arabia,SAU,Scientific and technical journal articles,IP.JRN.ARTC.SC,5832.1,7117.79,8119.83,8838.53,9340.69,9944.06,10745.38,13007.68,17012.12,21610.2,25825.3,..
Senegal,SEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,260.75,275.66,296.3,328.18,333.11,339.19,384.95,377.31,413.42,421.32,450.9,..
Serbia,SRB,Scientific and technical journal articles,IP.JRN.ARTC.SC,5912.23,5274.97,5069.3,4895.14,5030.89,4918.08,4837.37,5062.2,4736.72,5275.05,5379.47,..
Seychelles,SYC,Scientific and technical journal articles,IP.JRN.ARTC.SC,10,16.91,9.64,19.11,12.2,11.95,11.02,11.12,30.3,21.79,20.24,..
Sierra Leone,SLE,Scientific and technical journal articles,IP.JRN.ARTC.SC,14.65,14.58,20.18,32.75,47.14,41.74,41.07,52.07,63.9,78.52,86.77,..
Singapore,SGP,Scientific and technical journal articles,IP.JRN.ARTC.SC,10823.23,11085.5,11333.21,11536.92,12074.78,12189.62,12072.15,12086.28,12347.41,12611.05,12700.34,..
Sint Maarten (Dutch part),SXM,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,Scientific and technical journal articles,IP.JRN.ARTC.SC,4189.34,4390.13,4941,5066.29,5485.35,5691.88,5237.95,5845.98,5671.55,5844.28,5390.39,..
Slovenia,SVN,Scientific and technical journal articles,IP.JRN.ARTC.SC,3561.91,3573.94,3516.41,3602.54,3440.93,3502.91,3390.46,3765.7,3964.77,4471.29,4073.69,..
Solomon Islands,SLB,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.37,4.01,8.02,13.72,14.96,10.91,15.31,13.43,15.67,14.22,11.06,..
Somalia,SOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.43,6.31,5.45,5.45,3.51,10.82,10.24,18.86,33.07,54.49,106.49,..
South Africa,ZAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,9105.16,9656.24,10323.83,11148.43,12184.62,13020.27,13477.1,15148.36,15744.73,16092.63,16651.13,..
South Sudan,SSD,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.42,8.96,5.62,5.51,2.11,5.73,9.62,8.67,14.57,13.09,16.38,..
